airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No info,14151
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No info,13882
Indigo,2019-06-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Air India,2019-06-12,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,10975
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,10844
Indigo,2019-04-15,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No info,4284
Indigo,2019-05-18,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,3943
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Indigo,2019-03-21,Delhi,Cochin,21:05:00,01:45:00,280,1.0,No info,5947
Air India,2019-03-06,Mumbai,Hyderabad,16:00:00,23:45:00,465,1.0,No info,11678
Vistara,2019-04-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6216
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No info,8040
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Air India,2019-05-15,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No info,11543
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,8016
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4160
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Goair,2019-03-01,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No info,12314
Indigo,2019-04-27,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,4423
Multiple Carriers,2019-06-09,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No info,12192
Jet Airways,2019-06-24,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No info,14714
Spicejet,2019-06-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-05-27,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No info,8625
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,2754
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Air India,2019-03-27,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,2575
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,09:25:00,1065,1.0,No info,12395
Jet Airways,2019-05-06,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,7064
Air India,2019-06-15,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,7171
Indigo,2019-03-21,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4148
Spicejet,2019-06-24,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,4957
Jet Airways,2019-05-21,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No info,15129
Indigo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,7503
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No info,13044
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14571
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,18:50:00,820,2.0,In-flight meal not included,8728
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No info,16704
Air India,2019-05-15,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,14482
Air India,2019-06-12,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,5228
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,In-flight meal not included,7832
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No info,15554
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No info,5678
Vistara,2019-05-21,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,No info,8452
Indigo,2019-05-09,Kolkata,Banglore,06:20:00,10:20:00,240,1.0,No info,4226
Jet Airways,2019-06-12,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No info,16289
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,18:25:00,1170,1.0,In-flight meal not included,11087
Indigo,2019-05-03,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No info,4823
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No info,13067
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No info,11432
Indigo,2019-03-27,Delhi,Cochin,04:55:00,21:20:00,985,2.0,No info,6223
Vistara,2019-05-18,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No check-in baggage included,2385
Air India,2019-05-27,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13381
Multiple Carriers,2019-05-18,Delhi,Cochin,07:10:00,22:30:00,920,1.0,No info,7740
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,8040
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,In-flight meal not included,9663
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No info,12692
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,7229
Air India,2019-06-12,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No info,8372
Spicejet,2019-05-21,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Air India,2019-05-18,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No info,12199
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No info,7229
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,15:30:00,690,1.0,No info,14973
Jet Airways,2019-06-12,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No info,14300
Indigo,2019-04-24,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No info,3480
Jet Airways,2019-06-27,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No info,14178
Air India,2019-05-27,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,7480
Spicejet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No info,8844
Air Asia,2019-04-12,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,4409
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Indigo,2019-05-01,Kolkata,Banglore,09:20:00,14:15:00,295,1.0,No info,8443
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,19:15:00,615,1.0,In-flight meal not included,15342
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,11410
Indigo,2019-06-12,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No info,3597
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,7618
Air India,2019-03-12,Mumbai,Hyderabad,09:40:00,15:15:00,1775,3.0,No info,18293
Spicejet,2019-04-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,4319
Jet Airways,2019-03-18,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,No info,12284
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,19:45:00,2245,2.0,No info,12273
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13591
Goair,2019-06-03,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,6976
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No info,9069
Indigo,2019-05-01,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,3597
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1.0,In-flight meal not included,11087
Spicejet,2019-04-01,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No info,6013
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,9646
Spicejet,2019-06-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,3625
Indigo,2019-03-09,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No info,6171
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No info,12649
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7408
Vistara,2019-03-06,Mumbai,Hyderabad,15:40:00,16:45:00,1505,1.0,No info,12395
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,In-flight meal not included,9134
Vistara,2019-05-27,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No info,4878
Jet Airways,2019-06-15,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,10588
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No info,3383
Indigo,2019-06-03,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No info,4049
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No info,9646
Air India,2019-05-27,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,9719
Air India,2019-05-12,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No info,13243
Indigo,2019-06-24,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,3943
Spicejet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No info,4812
Air India,2019-05-24,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No info,7480
Indigo,2019-05-01,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,4077
Indigo,2019-05-15,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No info,7503
Indigo,2019-06-21,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No info,12692
Indigo,2019-03-21,Kolkata,Banglore,17:15:00,19:55:00,160,0.0,No info,4148
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No info,8283
Indigo,2019-06-03,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Indigo,2019-04-24,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5073
Indigo,2019-03-09,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,6297
Multiple Carriers,2019-06-12,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Jet Airways,2019-06-27,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Vistara,2019-05-18,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9345
Spicejet,2019-06-06,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Jet Airways,2019-03-21,Mumbai,Hyderabad,03:05:00,04:25:00,80,0.0,No info,5678
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,In-flight meal not included,11087
Multiple Carriers,2019-03-03,Delhi,Cochin,12:50:00,01:35:00,765,1.0,No info,18192
Vistara,2019-05-06,Kolkata,Banglore,17:00:00,10:45:00,1065,1.0,No info,8662
Air India,2019-03-09,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No info,14483
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,11:25:00,1005,1.0,In-flight meal not included,7832
Indigo,2019-03-18,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,3858
Indigo,2019-06-12,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3419
Indigo,2019-06-09,Kolkata,Banglore,15:10:00,20:30:00,320,1.0,No info,7095
Air Asia,2019-05-21,Kolkata,Banglore,07:35:00,23:30:00,955,1.0,No info,5192
Indigo,2019-06-09,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No info,6442
Air India,2019-06-12,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,13381
Air India,2019-06-24,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No info,4667
Indigo,2019-05-09,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No info,6496
Goair,2019-06-15,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No info,5281
Indigo,2019-06-12,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No info,5883
Air India,2019-05-15,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No info,10203
Goair,2019-04-18,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No info,4937
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,14714
Air India,2019-03-24,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No info,10808
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Air India,2019-05-18,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11668
Jet Airways,2019-06-24,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Air India,2019-05-18,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,6245
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No info,14237
Air India,2019-06-06,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,6121
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No info,7888
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No info,14388
Spicejet,2019-06-03,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,5409
Jet Airways,2019-04-06,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Jet Airways,2019-05-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3502
Air India,2019-06-27,Delhi,Cochin,13:15:00,07:40:00,1105,2.0,No info,13547
Jet Airways,2019-05-06,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3702
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1.0,In-flight meal not included,15342
Jet Airways,2019-03-21,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,In-flight meal not included,4160
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,In-flight meal not included,8824
Air India,2019-06-24,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No info,7480
Spicejet,2019-03-03,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No info,6860
Indigo,2019-04-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No info,4174
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-06-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,No info,14571
Indigo,2019-03-21,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No info,6314
Air India,2019-06-12,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Multiple Carriers,2019-06-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No info,13377
Air India,2019-04-01,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No info,5176
Indigo,2019-03-01,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No info,8110
Indigo,2019-06-01,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No info,6628
Air India,2019-05-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4880
Indigo,2019-04-03,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No info,4174
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No info,6673
Multiple Carriers,2019-05-15,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9315
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No info,13941
Indigo,2019-05-06,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,4284
Air India,2019-06-15,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,9929
Air India,2019-06-27,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,12373
Indigo,2019-06-18,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Spicejet,2019-04-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Multiple Carriers,2019-06-09,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No info,6795
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Air India,2019-06-15,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,5201
Multiple Carriers,2019-05-24,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No info,9140
Air India,2019-06-03,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,10231
Indigo,2019-04-21,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Air India,2019-03-03,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,13885
Air India,2019-03-18,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No info,11633
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No info,12284
Vistara,2019-04-01,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,4851
Air India,2019-06-06,Kolkata,Banglore,09:25:00,01:20:00,955,2.0,No info,11458
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10577
Spicejet,2019-05-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3702
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No info,4148
Vistara,2019-03-03,Banglore,New Delhi,06:40:00,10:25:00,1665,1.0,No info,12476
Indigo,2019-04-27,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Air India,2019-03-03,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No info,12358
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No info,13626
Multiple Carriers,2019-05-21,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,7485
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No info,14388
Indigo,2019-03-03,Delhi,Cochin,16:10:00,22:20:00,370,1.0,No info,11237
Air Asia,2019-03-06,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4384
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,12384
Indigo,2019-05-21,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No info,2227
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,19:15:00,730,1.0,No info,15058
Multiple Carriers,2019-06-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No info,13587
Jet Airways,2019-06-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No info,8016
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,16:00:00,01:30:00,570,1.0,In-flight meal not included,10196
Air Asia,2019-03-06,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No info,8627
Indigo,2019-03-24,Kolkata,Banglore,05:35:00,11:20:00,345,1.0,No info,9319
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,5403
Jet Airways,2019-03-27,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No info,12032
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,No info,14571
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Multiple Carriers,2019-03-09,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,16023
Jet Airways,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-01,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No info,7408
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,8529
Indigo,2019-06-03,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No info,6493
Air India,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,8372
Air India,2019-03-24,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No info,6241
Spicejet,2019-04-15,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-03,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,13797
